file,sent,cv,rows,md5,stem,fam,std,corr,pred_lb,p_beat,priority
blend160origm_logit.csv,False,0.9699635759958648,296302,e1dd25c9a32afa2538daa6fadb4ac2f2,blend160origm_logit,logit,False,False,0.9710424963745802,0.0,0
blend156_logit.csv,False,0.9699618031215244,296302,25d63994430899784937f20c65ebe253,blend156_logit,logit,False,False,0.9710392053353397,0.0,0
blend160orig_logit.csv,False,0.969961779850316,296302,c17260144e551b0d77c0f22c58e704f3,blend160orig_logit,logit,False,False,0.971039162136305,0.0,0
blend160orig_rankraw.csv,False,0.9700342765404696,296302,6616985d547471c1bfb2152056e7b87d,blend160orig_rankraw,rankraw,False,False,0.9710389586881344,0.0,0
blend160origm_rankraw.csv,False,0.970033127076736,296302,05d1090c5040d887ad6f6ea46ba5f82e,blend160origm_rankraw,rankraw,False,False,0.9710368249045004,0.0,0
blend159_rankraw.csv,False,0.9700325394457388,296302,2cab356245fe42b16688860a2b11de44,blend159_rankraw,rankraw,False,False,0.9710357340676449,0.0,0
blend153_rescale.csv,False,0.9700197991441538,296302,bf165c372200988eace255156f15fb3b,blend153_rescale,rescale,False,False,0.9710343536024616,0.0,0
w14a_repro159av_rankraw.csv,False,0.9700313094207962,296302,5884fc9c17b3dbd0421a6927196be55c,w14a_repro159av_rankraw,rankraw,False,False,0.9710334507358483,0.0,0
blend150sx_rescale.csv,False,0.9700170339298694,296302,4d41fc1b28a7eb25b053ce67e07776a9,blend150sx_rescale,rescale,False,False,0.9710292204531398,0.0,0
blend153_rankraw.csv,False,0.9700266911160214,296302,e0521413092660bdda2e2a39d5084f6e,blend153_rankraw,rankraw,False,False,0.9710248776396669,0.0,0
blend153_logit.csv,False,0.9699540296194336,296302,c2a50193251ad0ca08cc441a25b3c2f0,blend153_logit,logit,False,False,0.9710247751527641,0.0,0
blend160origm_hybrid.csv,False,0.9700273084068992,296302,6dc1a3d3ed898ee1c718ab7c5b35b426,blend160origm_hybrid,hybrid,False,False,0.9710176723444459,0.0,0
w14a_repro159av_hybrid.csv,False,0.9700258630141788,296302,fa67ed92f6dfce7889652bf297b2fcbe,w14a_repro159av_hybrid,hybrid,False,False,0.9710149892190534,0.0,0
blend160orig_hybrid.csv,False,0.9700254919891136,296302,51360a7fb70afa74384788bf41b19f04,blend160orig_hybrid,hybrid,False,False,0.9710143004742163,0.0,0
blend159_hybrid.csv,False,0.9700244514017536,296302,3fb6a5df273509b7cfd476838e106e74,blend159_hybrid,hybrid,False,False,0.9710123688010251,0.0,0
blend156_hybrid.csv,False,0.9700230484868538,296302,5e6837ef13b12129819841ad847ea635,blend156_hybrid,hybrid,False,False,0.9710097645284713,0.0,0
blend153_hybrid.csv,False,0.9700168430359332,296302,c3b64bf441c91223cff38c501b5806b9,blend153_hybrid,hybrid,False,False,0.9709982451658077,0.0,0
